mode: set
valouniversaire/cmd/server/main.go:21.13,44.10 9 0
valouniversaire/cmd/server/main.go:44.10,46.3 1 0
valouniversaire/cmd/server/main.go:47.2,56.12 9 0
valouniversaire/cmd/server/main.go:56.12,57.84 1 0
valouniversaire/cmd/server/main.go:57.84,59.4 1 0
valouniversaire/cmd/server/main.go:62.2,68.46 5 0
valouniversaire/cmd/server/main.go:71.46,72.42 1 1
valouniversaire/cmd/server/main.go:72.42,74.3 1 1
valouniversaire/cmd/server/main.go:75.2,75.21 1 1
valouniversaire/internal/web/handlers.go:40.26,42.16 2 1
valouniversaire/internal/web/handlers.go:42.16,44.3 1 1
valouniversaire/internal/web/handlers.go:46.2,49.3 1 1
valouniversaire/internal/web/handlers.go:52.64,56.46 3 1
valouniversaire/internal/web/handlers.go:56.46,58.3 1 1
valouniversaire/internal/web/handlers.go:60.2,62.10 3 1
valouniversaire/internal/web/handlers.go:65.70,66.19 1 1
valouniversaire/internal/web/handlers.go:66.19,71.3 4 1
valouniversaire/internal/web/handlers.go:73.2,74.16 2 0
valouniversaire/internal/web/handlers.go:74.16,76.3 1 0
valouniversaire/internal/web/handlers.go:79.75,80.32 1 1
valouniversaire/internal/web/handlers.go:80.32,83.3 2 1
valouniversaire/internal/web/handlers.go:85.2,86.22 2 1
valouniversaire/internal/web/handlers.go:86.22,89.3 2 1
valouniversaire/internal/web/handlers.go:91.2,103.28 4 1
valouniversaire/internal/web/handlers.go:106.72,107.33 1 1
valouniversaire/internal/web/handlers.go:107.33,110.3 2 1
valouniversaire/internal/web/handlers.go:112.2,113.61 2 1
valouniversaire/internal/web/handlers.go:113.61,116.3 2 1
valouniversaire/internal/web/handlers.go:118.2,118.26 1 1
valouniversaire/internal/web/handlers.go:118.26,121.3 2 1
valouniversaire/internal/web/handlers.go:123.2,128.20 4 1
valouniversaire/internal/web/handlers.go:129.14,136.4 4 1
valouniversaire/internal/web/handlers.go:138.21,140.39 2 1
valouniversaire/internal/web/handlers.go:142.20,143.23 1 1
valouniversaire/internal/web/handlers.go:143.23,146.4 2 1
valouniversaire/internal/web/handlers.go:147.3,148.67 2 1
valouniversaire/internal/web/handlers.go:150.21,151.23 1 1
valouniversaire/internal/web/handlers.go:151.23,154.4 2 0
valouniversaire/internal/web/handlers.go:155.3,156.72 2 1
valouniversaire/internal/web/handlers.go:158.18,160.41 2 1
valouniversaire/internal/web/handlers.go:162.18,164.45 2 1
valouniversaire/internal/web/handlers.go:166.10,168.9 2 1
valouniversaire/internal/web/handlers.go:171.2,171.16 1 1
valouniversaire/internal/web/handlers.go:171.16,174.3 2 1
valouniversaire/internal/web/handlers.go:176.2,187.4 2 1
valouniversaire/internal/web/handlers.go:190.72,191.32 1 1
valouniversaire/internal/web/handlers.go:191.32,194.3 2 1
valouniversaire/internal/web/handlers.go:196.2,210.28 5 1
valouniversaire/internal/web/handlers.go:210.28,220.3 1 1
valouniversaire/internal/web/handlers.go:222.2,222.26 1 1
valouniversaire/internal/web/handlers.go:225.75,226.33 1 1
valouniversaire/internal/web/handlers.go:226.33,229.3 2 1
valouniversaire/internal/web/handlers.go:231.2,232.22 2 1
valouniversaire/internal/web/handlers.go:232.22,235.3 2 1
valouniversaire/internal/web/handlers.go:237.2,251.28 6 1
valouniversaire/internal/web/handlers.go:254.72,260.2 1 1
valouniversaire/internal/web/handlers.go:262.71,274.2 6 1
valouniversaire/internal/web/handlers.go:276.83,289.2 7 1
valouniversaire/internal/web/handlers.go:291.62,292.71 1 1
valouniversaire/internal/web/handlers.go:292.71,297.37 4 1
valouniversaire/internal/web/handlers.go:297.37,300.4 2 1
valouniversaire/internal/web/handlers.go:302.3,302.23 1 1
valouniversaire/internal/web/handlers.go:306.45,311.15 4 1
valouniversaire/internal/web/handlers.go:311.15,313.3 1 1
valouniversaire/internal/web/handlers.go:313.8,313.24 1 1
valouniversaire/internal/web/handlers.go:313.24,315.3 1 1
valouniversaire/internal/web/handlers.go:315.8,317.3 1 1
valouniversaire/internal/web/handlers.go:320.47,333.2 9 1
